requirement_id,priority,implementation_status,source_document,source_line,source_section,text,verification_method,owner,release_gate,external_validation_status,waiver_status,waiver_expiration,implementation_files,test_ids,test_result_evidence_paths,dependency_ids,epic_ids,notes
GOVDOC-001,P0,VERIFIED,00-governance/000_document_control.md,36,4. Normative requirements,"Every normative document shall carry a unique specification identifier, version, status, update date, category, and normative flag.",Controlled verification,SIP Engineering,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,"[""src/sip/spec_lint.py"",""tools/update_requirements.py"",""requirements/spec-index.json"",""requirements/requirements-ledger.json""]","[""tests/contract/test_spec_lint.py::test_spec_lint_indexes_every_normative_requirement"",""tests/spec/test_requirements_controls.py::test_authoritative_specification_and_requirement_index_are_complete""]","[""build/reports/test-matrix.json"",""build/reports/tests/contract.xml"",""build/reports/tests/spec.xml""]","[""FND-001""]","[""FND-001"",""GOV-001""]","Verified in the deterministic local reference profile by the exact linked automated test(s) and retained evidence; no external hardware, cloud, GPU, legal, or customer-pilot result is inferred."
GOVDOC-002,P0,NOT_STARTED,00-governance/000_document_control.md,37,4. Normative requirements,"The release process shall produce a manifest containing every file path, byte count, word count, and SHA-256 digest.",Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVDOC-002""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVDOC-003,P1,NOT_STARTED,00-governance/000_document_control.md,38,4. Normative requirements,"A breaking change shall identify affected schemas, APIs, stored data, exports, clients, tests, and migration steps.",Automated test,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVDOC-003""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVDOC-004,P1,NOT_STARTED,00-governance/000_document_control.md,39,4. Normative requirements,"A waiver shall be rejected when it would cause unlicensed model use, unconsented biometric use, or presentation of generated content as verified fact.",Automated test,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVDOC-004""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVDOC-005,P1,NOT_STARTED,00-governance/000_document_control.md,40,4. Normative requirements,Superseded bundles shall remain retrievable for audit and migration testing.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVDOC-005""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVNORM-001,P0,NOT_STARTED,00-governance/001_normative_language.md,36,4. Normative requirements,Requirement identifiers shall remain stable after publication even when wording is clarified.,Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVNORM-001""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVNORM-002,P0,NOT_STARTED,00-governance/001_normative_language.md,37,4. Normative requirements,A requirement shall have exactly one primary verification method and may list supplemental evidence.,Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVNORM-002""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVNORM-003,P1,NOT_STARTED,00-governance/001_normative_language.md,38,4. Normative requirements,Undefined terms shall be linked to the glossary or defined in the owning document.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVNORM-003""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVNORM-004,P1,NOT_STARTED,00-governance/001_normative_language.md,39,4. Normative requirements,"Words such as accurate, real-time, secure, reliable, and high-quality shall not appear in acceptance criteria without a measurable definition.",Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVNORM-004""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVNORM-005,P1,NOT_STARTED,00-governance/001_normative_language.md,40,4. Normative requirements,Conflicting requirements shall be resolved through an architecture decision record rather than implementation guesswork.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVNORM-005""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVSCOPE-001,P0,NOT_STARTED,00-governance/002_scope_and_non_goals.md,36,4. Normative requirements,Product interfaces shall display operating-envelope limitations wherever users can create or export measurements.,Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-001""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVSCOPE-002,P0,NOT_STARTED,00-governance/002_scope_and_non_goals.md,37,4. Normative requirements,"Marketing and generated reports shall not describe unverified phone scans as survey grade, code compliant, or as-built certified.",Controlled verification,UNASSIGNED,FIRST_PRODUCTION_BLOCKING,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-002""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVSCOPE-003,P1,NOT_STARTED,00-governance/002_scope_and_non_goals.md,38,4. Normative requirements,The platform shall prevent an AI agent from issuing a life-safety control command through spatial tools.,Automated test,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-003""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVSCOPE-004,P1,NOT_STARTED,00-governance/002_scope_and_non_goals.md,39,4. Normative requirements,"LiveForever experiences shall identify simulated voice, face, dialogue, and scene completion before or at first presentation.",Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-004""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
GOVSCOPE-005,P1,NOT_STARTED,00-governance/002_scope_and_non_goals.md,40,4. Normative requirements,Out-of-scope requests shall generate a safe handoff or export rather than silent approximation.,Controlled verification,UNASSIGNED,CONTROLLED_POST_P0_MILESTONE,NOT_REQUIRED,NONE,,[],"[""REQ-GOVSCOPE-005""]",[],"[""FND-001""]","[""FND-001"",""GOV-001""]",
